frame_idx,file,fire_score,area_m2,growth_m2_per_s,lat,lon,crs
0,IRX_0529_ref_geo.TIFF,0.9834915995597839,1512.1280052150457,0.0,30.659841828082968,-84.24910502921828,EPSG:26916
1,IRX_0530_ref_geo.TIFF,0.9765655398368835,1512.1280052150457,0.0,30.659841828082968,-84.24910502921828,EPSG:26916
2,IRX_0531_ref_geo.TIFF,0.9648000001907349,1514.7509505840223,2.622945368976616,30.659841891505675,-84.24910480136545,EPSG:26916
3,IRX_0532_ref_geo.TIFF,0.9643175601959229,1668.6881500217942,153.93719943777182,30.659826824171663,-84.24910368156367,EPSG:26916
4,IRX_0533_ref_geo.TIFF,0.9616575241088867,1690.785227517041,22.097077495246822,30.659818516959668,-84.24910541165326,EPSG:26916
5,IRX_0534_ref_geo.TIFF,0.9759589433670044,1620.9060037246816,-69.87922379235943,30.659826494998008,-84.24911140298505,EPSG:26916
6,IRX_0535_ref_geo.TIFF,0.9892565011978149,1227.538432681078,-393.3675710436037,30.659805607270734,-84.24912324329229,EPSG:26916
7,IRX_0536_ref_geo.TIFF,0.9862502813339233,1230.0376542118952,2.4992215308172945,30.65980507402914,-84.24912297796988,EPSG:26916
8,IRX_0537_ref_geo.TIFF,0.9893208742141724,1234.689670526684,4.6520163147888525,30.659805861700395,-84.24912427301233,EPSG:26916
9,IRX_0538_ref_geo.TIFF,0.9906944036483765,1241.3460130196531,6.656342492969088,30.659806674731175,-84.2491252050852,EPSG:26916
10,IRX_0539_ref_geo.TIFF,0.9909331798553467,1239.6633688206869,-1.6826441989662726,30.659806514334548,-84.24912572503149,EPSG:26916
11,IRX_0540_ref_geo.TIFF,0.9908785223960876,1238.6488333477807,-1.0145354729061182,30.659807233999445,-84.24912675403024,EPSG:26916
12,IRX_0541_ref_geo.TIFF,0.9912154674530029,1213.2359569898654,-25.412876357915366,30.65980934007167,-84.24912958022448,EPSG:26916
13,IRX_0542_ref_geo.TIFF,0.9891570806503296,1216.7002244583252,3.464267468459866,30.659809580723437,-84.24912942218417,EPSG:26916
14,IRX_0543_ref_geo.TIFF,0.9893783926963806,1221.2037721673228,4.50354770899753,30.65980847430775,-84.24912872803006,EPSG:26916
15,IRX_0544_ref_geo.TIFF,0.9867286086082458,1218.1601657486046,-3.0436064187181273,30.659807802450956,-84.24912852836434,EPSG:26916
16,IRX_0545_ref_geo.TIFF,0.9860237836837769,1217.4920570225445,-0.6681087260601544,30.659807446703244,-84.2491283546495,EPSG:26916
17,IRX_0546_ref_geo.TIFF,0.9823030829429626,1215.6609442177873,-1.8311128047571401,30.65980731909102,-84.24912883069106,EPSG:26916
18,IRX_0547_ref_geo.TIFF,0.9803138375282288,1219.3479145949336,3.686970377146281,30.65980703509554,-84.2491286896335,EPSG:26916
19,IRX_0548_ref_geo.TIFF,0.978518009185791,1217.3435884167534,-2.0043261781802357,30.65980620339374,-84.24912923550568,EPSG:26916
20,IRX_0549_ref_geo.TIFF,0.983472466468811,1228.6519472245113,11.30835880775794,30.659806589113906,-84.24912896917301,EPSG:26916
21,IRX_0550_ref_geo.TIFF,0.9838274717330933,1276.0381772395142,47.386230015002866,30.65981184938355,-84.24914123576079,EPSG:26916
22,IRX_0551_ref_geo.TIFF,0.982505202293396,1251.417133445818,-24.621043793696117,30.65980793395205,-84.24913517286821,EPSG:26916
23,IRX_0552_ref_geo.TIFF,0.9832030534744263,1303.7275722195602,52.310438773742135,30.65981130767782,-84.24914088831474,EPSG:26916
24,IRX_0553_ref_geo.TIFF,0.9842260479927063,1274.9988969989763,-28.72867522058391,30.65980818582909,-84.24913697581583,EPSG:26916
25,IRX_0554_ref_geo.TIFF,0.982795774936676,1250.6747904168626,-24.3241065821137,30.659806601174747,-84.24913828137024,EPSG:26916
26,IRX_0555_ref_geo.TIFF,0.9216103553771973,1295.066903548411,44.392113131548285,30.65981080452837,-84.24913609738181,EPSG:26916
27,IRX_0556_ref_geo.TIFF,0.8941267728805542,1288.4600505907056,-6.606852957705314,30.659809860930228,-84.24913462249678,EPSG:26916
28,IRX_0557_ref_geo.TIFF,0.9311229586601257,1266.2392492572994,-22.220801333406143,30.65980992080525,-84.24913303254306,EPSG:26916
29,IRX_0558_ref_geo.TIFF,0.916654109954834,1244.265895600212,-21.9733536570875,30.659808386907454,-84.24913085444749,EPSG:26916
30,IRX_0559_ref_geo.TIFF,0.9267013072967529,1233.477176912723,-10.788718687488881,30.659809036393245,-84.24913172723171,EPSG:26916
31,IRX_0560_ref_geo.TIFF,0.9341414570808411,1228.2065414071378,-5.270635505585233,30.659809256533695,-84.24913193481841,EPSG:26916
32,IRX_0561_ref_geo.TIFF,0.9191060066223145,1078.0058018817763,-150.20073952536154,30.65983350989138,-84.24914360612351,EPSG:26916
33,IRX_0562_ref_geo.TIFF,0.9153396487236023,1098.7914066925346,20.785604810758286,30.65982986026528,-84.24914128435367,EPSG:26916
34,IRX_0563_ref_geo.TIFF,0.8989356756210327,1115.122953329559,16.33154663702453,30.659827095551588,-84.24913974210114,EPSG:26916
35,IRX_0564_ref_geo.TIFF,0.8749224543571472,1104.878619529971,-10.244333799588048,30.659829371272252,-84.24913984948593,EPSG:26916
36,IRX_0565_ref_geo.TIFF,0.8813237547874451,1087.977943237414,-16.900676292557137,30.659831787837764,-84.24914091325056,EPSG:26916
37,IRX_0566_ref_geo.TIFF,0.8306795954704285,1118.2655388188048,30.28759558139086,30.65982688930718,-84.24913812356704,EPSG:26916
38,IRX_0567_ref_geo.TIFF,0.8493028283119202,1145.064122164104,26.79858334529922,30.659821896950465,-84.24913552961051,EPSG:26916
39,IRX_0568_ref_geo.TIFF,0.8993555903434753,1153.6010669970942,8.53694483299023,30.65982235589786,-84.24913393254465,EPSG:26916
40,IRX_0569_ref_geo.TIFF,0.8948382139205933,1176.861148571038,23.260081573943808,30.65981930217738,-84.24913198372884,EPSG:26916
41,IRX_0570_ref_geo.TIFF,0.8904977440834045,1196.4590045354676,19.597855964429527,30.659816918235677,-84.24913094472376,EPSG:26916
42,IRX_0571_ref_geo.TIFF,0.8786163330078125,1189.9016411130258,-6.557363422441767,30.65981832808731,-84.24913155619822,EPSG:26916
43,IRX_0572_ref_geo.TIFF,0.8853709101676941,1200.9625522444653,11.060911131439525,30.65981762942582,-84.24913051986171,EPSG:26916
44,IRX_0573_ref_geo.TIFF,0.8323628902435303,1210.8604592972074,9.897907052742084,30.65981768034088,-84.2491305986986,EPSG:26916
45,IRX_0574_ref_geo.TIFF,0.8777270913124084,1219.1994459891425,8.338986691935133,30.659816760506622,-84.24913001842751,EPSG:26916
46,IRX_0575_ref_geo.TIFF,0.9302706718444824,1219.7190861094116,0.5196401202690595,30.65981715600241,-84.24913100936165,EPSG:26916
47,IRX_0576_ref_geo.TIFF,0.8856143355369568,1225.0887006855241,5.3696145761125536,30.659816748428522,-84.24913057921795,EPSG:26916
48,IRX_0577_ref_geo.TIFF,0.805543839931488,1221.0305587939,-4.0581418916242455,30.65981571148362,-84.24913110112026,EPSG:26916
49,IRX_0578_ref_geo.TIFF,0.8722081184387207,1214.9433459564634,-6.087212837436482,30.659815088654604,-84.24913131939016,EPSG:26916
50,IRX_0579_ref_geo.TIFF,0.8825384378433228,1198.3396068754885,-16.603739080974947,30.659815124337776,-84.24913367323555,EPSG:26916
51,IRX_0580_ref_geo.TIFF,0.9161628484725952,1204.6990121568754,6.359405281386898,30.659818978949044,-84.24914151830924,EPSG:26916
52,IRX_0581_ref_geo.TIFF,0.918404757976532,1173.5948392436333,-31.10417291324211,30.65981570742155,-84.24913537367418,EPSG:26916
53,IRX_0582_ref_geo.TIFF,0.9291955232620239,1213.0132540811787,39.41841483754547,30.659821102483825,-84.24915016669085,EPSG:26916
54,IRX_0583_ref_geo.TIFF,0.8994396924972534,1160.2574094900633,-52.75584459111542,30.659815343758442,-84.2491376360888,EPSG:26916
55,IRX_0584_ref_geo.TIFF,0.9043467044830322,1139.1748674677226,-21.082542022340704,30.65981623898242,-84.2491395300012,EPSG:26916
56,IRX_0585_ref_geo.TIFF,0.9081270098686218,1138.3088006006076,-0.8660668671150233,30.659815404843222,-84.24913860837366,EPSG:26916
57,IRX_0586_ref_geo.TIFF,0.8691704273223877,1155.159987357901,16.851186757293362,30.659812712789652,-84.249136526506,EPSG:26916
58,IRX_0587_ref_geo.TIFF,0.9119755029678345,1143.9258628530388,-11.234124504862166,30.65981496231622,-84.2491378390965,EPSG:26916
59,IRX_0588_ref_geo.TIFF,0.9287654757499695,1189.8521515777622,45.92628872472346,30.659825032663022,-84.24915621374511,EPSG:26916
60,IRX_0589_ref_geo.TIFF,0.9420779943466187,1249.214849126583,59.362697548820734,30.659815304694646,-84.24915197270792,EPSG:26916
61,IRX_0590_ref_geo.TIFF,0.9196405410766602,1228.1570518718743,-21.057797254708703,30.6598184844885,-84.24915275321761,EPSG:26916
62,IRX_0591_ref_geo.TIFF,0.8678411245346069,1200.5913807299873,-27.565671141886924,30.659808047594957,-84.24913582161427,EPSG:26916
63,IRX_0592_ref_geo.TIFF,0.865288257598877,1210.415053479834,9.823672749846537,30.659806140408893,-84.24913481231268,EPSG:26916
64,IRX_0593_ref_geo.TIFF,0.921529233455658,1217.912718072286,7.497664592452111,30.65980507195005,-84.24913397203213,EPSG:26916
65,IRX_0594_ref_geo.TIFF,0.9356555938720703,1217.4673122549127,-0.44540581737328466,30.659804183690127,-84.24913323539728,EPSG:26916
66,IRX_0595_ref_geo.TIFF,0.9400561451911926,1212.0976976788002,-5.3696145761125536,30.659803247010124,-84.24913271050873,EPSG:26916
67,IRX_0596_ref_geo.TIFF,0.9446238279342651,1216.4527767820066,4.355079103206435,30.659803142998182,-84.24913182861184,EPSG:26916
68,IRX_0597_ref_geo.TIFF,0.9394446015357971,1219.4468936654612,2.9941168834545806,30.659802735393612,-84.24913174764343,EPSG:26916
69,IRX_0598_ref_geo.TIFF,0.9253912568092346,1220.2387262296804,0.7918325642192485,30.659803232824203,-84.24913199348971,EPSG:26916
70,IRX_0599_ref_geo.TIFF,0.8889280557632446,1218.6798058688737,-1.5589203608067237,30.659803461106772,-84.24913137373503,EPSG:26916
71,IRX_0600_ref_geo.TIFF,0.9162870645523071,1217.9622076075498,-0.7175982613239285,30.659802264614058,-84.24913113822194,EPSG:26916
72,IRX_0601_ref_geo.TIFF,0.9091829061508179,1208.3117482311263,-9.650459376423441,30.659803257634863,-84.24913215482553,EPSG:26916
73,IRX_0602_ref_geo.TIFF,0.8218693137168884,1205.4908447210946,-2.8209035100317124,30.659804936103484,-84.24913322338112,EPSG:26916
74,IRX_0603_ref_geo.TIFF,0.7794245481491089,1209.1283255629774,3.6374808418827342,30.659804293438714,-84.24913366100171,EPSG:26916
75,IRX_0604_ref_geo.TIFF,0.784771740436554,1199.0819499044442,-10.04637565853318,30.659804410054484,-84.24913488328437,EPSG:26916
76,IRX_0605_ref_geo.TIFF,0.8258458971977234,1196.1373225562534,-2.9446273481908065,30.65980327631661,-84.24913485522464,EPSG:26916
77,IRX_0606_ref_geo.TIFF,0.8334858417510986,1203.6102423810737,7.4729198248203375,30.65980101743195,-84.24913458689598,EPSG:26916
78,IRX_0607_ref_geo.TIFF,0.8362410068511963,1193.0442266022715,-10.566015778802239,30.659801398872208,-84.2491354796796,EPSG:26916
79,IRX_0608_ref_geo.TIFF,0.8766677379608154,1187.0312480677308,-6.012978534540707,30.65980254617443,-84.24913641494528,EPSG:26916
80,IRX_0609_ref_geo.TIFF,0.8620768785476685,1200.49240165946,13.461153591729271,30.659800552824166,-84.24913520037452,EPSG:26916
81,IRX_0610_ref_geo.TIFF,0.8377066254615784,1202.7441755139587,2.2517738544986514,30.65979925305951,-84.24913518758785,EPSG:26916
82,IRX_0611_ref_geo.TIFF,0.890182375907898,1200.9625522444653,-1.781623269493366,30.6598003968841,-84.24913585003925,EPSG:26916
83,IRX_0612_ref_geo.TIFF,0.8849660158157349,1185.0269218895503,-15.93563035491502,30.659803194568536,-84.24913678367176,EPSG:26916
84,IRX_0613_ref_geo.TIFF,0.9006852507591248,1152.6607658270837,-32.366156062466644,30.659809660368882,-84.24913828195172,EPSG:26916
85,IRX_0614_ref_geo.TIFF,0.8674925565719604,1208.0890453224395,55.42827949535581,30.659803613772848,-84.24913787992924,EPSG:26916
86,IRX_0615_ref_geo.TIFF,0.8000158667564392,1167.2849234975101,-40.804121824929325,30.65981076394229,-84.24913873800452,EPSG:26916
87,IRX_0616_ref_geo.TIFF,0.7908821105957031,1200.5666359623556,33.28171246484544,30.659806508683,-84.24913735847618,EPSG:26916
